database,workload,workload_label,threads,record_count,dataset_label,series,throughput_ops_sec_mean,throughput_ops_sec_std,read_avg_latency_us_mean,read_p95_latency_us_mean,read_p99_latency_us_mean,update_avg_latency_us_mean,update_p95_latency_us_mean,update_p99_latency_us_mean,avg_cpu_percent_mean,max_cpu_percent_mean,avg_mem_usage_mb_mean,max_mem_usage_mb_mean,total_blk_read_mb_mean,total_blk_write_mb_mean,avg_cpu_percent_std,avg_mem_usage_mb_std,insert_avg_latency_us_mean,insert_avg_latency_us_std,insert_ok_mean,insert_ok_std,insert_ops_mean,insert_ops_std,insert_p95_latency_us_mean,insert_p95_latency_us_std,insert_p99_latency_us_mean,insert_p99_latency_us_std,load_duration_sec_mean,load_duration_sec_std,max_cpu_percent_std,max_mem_usage_mb_std,min_cpu_percent_mean,min_cpu_percent_std,min_mem_usage_mb_mean,min_mem_usage_mb_std,operation_count_mean,operation_count_std,read_avg_latency_us_std,read_max_latency_us_mean,read_max_latency_us_std,read_min_latency_us_mean,read_min_latency_us_std,read_ok_mean,read_ok_std,read_ops_mean,read_ops_std,read_p95_latency_us_std,read_p99_latency_us_std,record_count_mean,record_count_std,rmw_avg_latency_us_mean,rmw_avg_latency_us_std,rmw_ops_mean,rmw_ops_std,rmw_p95_latency_us_mean,rmw_p95_latency_us_std,rmw_p99_latency_us_mean,rmw_p99_latency_us_std,run_duration_sec_mean,run_duration_sec_std,runtime_ms_mean,runtime_ms_std,threads_mean,threads_std,total_blk_read_mb_std,total_blk_write_mb_std,total_net_rx_mb_mean,total_net_rx_mb_std,total_net_tx_mb_mean,total_net_tx_mb_std,update_avg_latency_us_std,update_max_latency_us_mean,update_max_latency_us_std,update_min_latency_us_mean,update_min_latency_us_std,update_ok_mean,update_ok_std,update_ops_mean,update_ops_std,update_p95_latency_us_std,update_p99_latency_us_std,num_repetitions
mongodb,workload_a,Workload A (Update Heavy),10,1000000,1 GB,dataset_size,26022.74243787095,6154.80597856345,300.1177864270703,521.6666666666666,893.6666666666666,456.5466394543177,545.3333333333334,988.6666666666666,325.9609821271575,483.9835520571282,2047.6197916666667,2047.8606770833333,592.515625,822.19140625,187.4253528182297,0.16979086784065664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.74652115503947,3.2265819597492875,180.54144554747793,0.0737374746602488,190.55021990872015,145.3363623517817,2047.2747395833333,0.6046028754846199,100000.0,0.0,37.34018781969567,134857.66666666666,92515.84818469392,91.0,1.0,50008.666666666664,129.3303264255269,50008.666666666664,129.3303264255269,21.385353243127252,104.71071260063763,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.088587999343872,0.858252704722833,3977.3333333333335,856.7988873319883,10.0,0.0,50.58274845160125,171.14299751419728,23.002248128255207,0.5363688558328564,56.12052567799886,1.168577854009602,162.56920805651666,201129.66666666666,160029.55673666456,101.66666666666667,4.041451884327381,49991.333333333336,129.3303264255269,49991.333333333336,129.3303264255269,21.54839514519198,152.8474184712759,3
mongodb,workload_a,Workload A (Update Heavy),10,10000000,10 GB,dataset_size,20672.32528597847,193.6153775120248,398.33619437392707,608.6666666666666,1237.6666666666667,529.6060989922711,631.0,1283.0,351.72955073500754,496.23923656506304,2047.732638888889,2047.9361979166667,1759.9583333333333,705.0052083333334,114.17980793743033,0.06892847598624115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320.1113890012105,20.52835850804055,180.37012717412384,0.0566518487442893,103.42037900476573,15.099801412562794,2047.4869791666667,0.12791601986467854,100000.0,0.0,4.504174162143866,63508.333333333336,19605.278200865534,95.66666666666667,2.5166114784235836,49917.333333333336,113.37695239039253,49917.333333333336,113.37695239039253,1.5275252316519468,166.3079472945696,10000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.946069717407227,0.05002979280733124,4837.666666666667,45.08140784551136,10.0,0.0,151.89470364995466,122.65705328741073,26.2432435353597,1.7210589687846571,63.9616003036499,4.195844834725175,5.330519677251812,198569.66666666666,12340.111722887008,105.66666666666667,2.3094010767585034,50082.666666666664,113.37695239039253,50082.666666666664,113.37695239039253,3.605551275463989,165.35718913914812,3
cassandra,workload_a,Workload A (Update Heavy),10,100000,100 MB,dataset_size,23364.277406290075,237.52000909544432,191.60835129088946,307.3333333333333,621.0,167.91468581273514,274.6666666666667,550.0,76.0888928112273,175.62347321296872,908.9661458333334,916.1171875,0.032552083333333336,37.361979166666664,4.189245426105469,8.373476209292173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.412838141123454,0.00879388893221386,2.2703425057593,8.532207728694019,0.9799216653833676,0.01842361883719363,894.8671875,8.06082017535524,100000.0,0.0,2.7820652977820943,10711.0,2402.2922386753867,72.66666666666667,4.509249752822894,50091.0,121.87288459702593,50091.0,121.87288459702593,2.309401076758503,20.074859899884732,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.398579359054565,0.04105168496781466,4280.333333333333,43.54690957270485,10.0,0.0,0.05303492670420912,0.1795317486212977,11.749018351236979,0.14992473795927375,42.72811190287272,0.29502323284738435,3.5620337646663356,12129.666666666666,4943.626738876362,62.0,2.0,49909.0,121.87288459702593,49909.0,121.87288459702593,0.5773502691896258,17.578395831246947,3
cassandra,workload_a,Workload A (Update Heavy),10,1000000,1 GB,dataset_size,22723.71413699778,233.29536349625866,213.82067150592488,395.0,745.3333333333334,169.29134078799962,278.3333333333333,554.3333333333334,107.88721352178942,201.60893686191244,1994.5755208333333,2023.3203125,147.71223958333334,51.8515625,7.632882673916099,26.74955909183415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.824046452840168,0.23473069683444522,9.210860455886714,42.46908037002433,0.8575235474006117,0.10586501667304148,1937.36328125,5.404945877749957,100000.0,0.0,7.005502315273614,13293.666666666666,9346.200368777321,80.0,2.0,50019.333333333336,64.46963109351049,50019.333333333336,64.46963109351049,16.09347693943108,53.79900866496829,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.518201192220052,0.045427931374390405,4401.0,45.43126676640219,10.0,0.0,42.46554790642072,37.87448532711627,12.173388799031576,0.08635506349428758,43.95355224609375,0.3156215308054387,2.0960170278257166,8200.333333333334,1133.7324787326743,65.33333333333333,3.511884584284246,49980.666666666664,64.46963109351049,49980.666666666664,64.46963109351049,4.041451884327381,6.350852961085883,3
cassandra,workload_a,Workload A (Update Heavy),10,10000000,10 GB,dataset_size,15222.227053670033,228.12857876617784,607.6201710077404,1156.0,3224.3333333333335,204.62045689527963,400.0,768.6666666666666,292.3143800232597,571.7201919929689,2047.275390625,2047.9778645833333,4587.895833333333,658.91015625,20.989912682533106,0.9532165483377334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,154.58385586738586,0.21885723644390076,20.573573346906727,0.023545756927116045,43.07901353383459,3.311211740943921,2045.3372395833333,3.7955613028695963,100000.0,0.0,17.94061218318198,65679.0,48611.40475238295,125.66666666666667,10.598742063723098,49970.666666666664,83.96626306638478,49970.666666666664,83.96626306638478,44.30575583375144,216.97311661432468,10000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.689883550008138,0.09995524756368615,6570.333333333333,99.32438438436623,10.0,0.0,76.01648586892634,67.43959575292087,15.296086947123209,0.045446604937161406,51.700918197631836,0.09697328814402426,3.2530763891613805,26159.0,8545.453059961186,70.33333333333333,2.0816659994661326,50029.333333333336,83.96626306638478,50029.333333333336,83.96626306638478,16.703293088490067,6.429100507328636,3
mongodb,workload_bulk,Bulk Load (100% Inserts),10,1000000,1 GB,bulk_load,36197.452623118275,988.6482991152634,0.0,0.0,0.0,0.0,0.0,0.0,309.67934590128897,404.83157444421045,2047.6829427083333,2047.8111979166667,0.0,221.31640625,31.216729984455643,0.06502273553202532,245.40301683501684,7.553900095907176,99000.0,0.0,99000.0,0.0,453.6666666666667,18.556220879622373,864.3333333333334,85.44198811669432,22.74695412317912,2.0134318914191707,51.514897516581826,0.08234068621751238,214.52711735836746,18.520642088130977,2047.5546875,0.18284421466356954,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8725546995798745,0.08077153022423737,2764.0,75.50496672405067,10.0,0.0,0.0,212.0589812301892,103.87715721130371,0.5615055180729248,9.249427795410156,0.051006326553449985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
cassandra,workload_bulk,Bulk Load (100% Inserts),10,1000000,1 GB,bulk_load,23140.42531468626,204.3002991125635,0.0,0.0,0.0,0.0,0.0,0.0,104.94276153578356,194.11527550458527,1839.2586805555554,1958.3203125,46.1640625,378.26953125,24.761654106134785,87.29867120487063,183.60382333333334,3.2580489072654055,100000.0,0.0,100000.0,0.0,296.6666666666667,11.71893055416463,643.3333333333334,51.316014394468844,18.140294392903645,0.49236674136126357,23.8009230485287,155.2418277573709,19.263685217738,16.07274055920624,1699.6966145833333,37.02250550543196,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.434442758560181,0.04299336664189711,4321.666666666667,38.214307966170644,10.0,0.0,44.84484172914332,164.19097150916085,82.74445660909016,1.4444222736273298,4.776205062866211,0.0725755354300402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
mongodb,workload_stress,Stress Test (Workload A),1,1000000,1 GB,stress,6675.769687029766,44.9416169911507,140.77258555513063,244.0,306.3333333333333,152.96959055252088,255.66666666666666,317.0,75.68787451425449,87.07392723352687,2047.8289388020833,2047.9986979166667,796.0143229166666,891.5234375,2.538652437110768,0.011276372445109878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.25034650166829,0.7091497076958109,7.424412048818137,0.0022552744890219755,41.3166451328207,4.1739126034669205,2047.5559895833333,0.09697680302794495,100000.0,0.0,1.1998787190913311,15809.666666666666,10548.63125402217,84.0,0.0,50090.333333333336,196.47476513113162,50090.333333333336,196.47476513113162,2.0,3.511884584284246,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.074310223261515,0.1016311242223128,14980.0,101.12863096077193,1.0,0.0,17.630352244688986,108.48218667901268,27.626059532165527,0.13041130533616604,67.48699156443278,0.3725086673992232,0.9205813639797507,9741.0,9906.870545232738,100.0,0.0,49909.666666666664,196.47476513113162,49909.666666666664,196.47476513113162,1.5275252316519465,2.6457513110645907,3
mongodb,workload_stress,Stress Test (Workload A),10,1000000,1 GB,stress,27770.18261168589,4156.894883987191,281.1147718694631,533.0,842.3333333333334,409.2189630941138,556.6666666666666,928.6666666666666,312.7542827529234,437.5313801162594,2047.6124131944443,2047.7278645833333,508.5169270833333,698.9817708333334,106.7808252985132,0.27078742265783196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.370420058568318,3.0261150394981713,154.39380619273743,0.3023329832277581,190.9089485736355,76.5913353366714,2047.4830729166667,0.23678234156846628,100000.0,0.0,0.827925653225104,63881.666666666664,37070.12281249326,88.33333333333333,0.5773502691896257,49792.666666666664,204.82756975889092,49792.666666666664,204.82756975889092,19.313207915827967,63.95571384429489,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7621848583221436,0.5383510919509348,3654.0,533.0168852860104,10.0,0.0,96.0624495940282,328.4591721972404,19.667092323303223,4.800891591580141,47.78192679087321,11.567815979475917,106.24258320622155,166991.0,122195.94075091038,103.66666666666667,1.5275252316519468,50207.333333333336,204.82756975889092,50207.333333333336,204.82756975889092,13.203534880225574,44.52340208624374,3
mongodb,workload_stress,Stress Test (Workload A),25,1000000,1 GB,stress,30579.052929272555,3858.8908762961178,652.9069191098243,1318.3333333333333,2813.6666666666665,884.7197079481097,1366.0,3434.3333333333335,334.8580908988674,430.8290869730031,2047.537109375,2047.8828125,408.796875,393.7942708333333,127.99182852186733,0.5143843087041202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.090328375498455,0.057772388943586196,142.88378459235628,0.16355016730826813,238.88709482473166,140.65399950544258,2047.19140625,0.8660606417314264,100000.0,0.0,16.29637869387011,91593.66666666667,60730.55683371702,88.66666666666667,1.5275252316519468,50004.333333333336,196.89167918765213,50004.333333333336,196.89167918765213,59.3408234972631,240.3858010227171,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4169331391652427,0.41900281799979955,3305.3333333333335,418.5753615937437,25.0,0.0,93.4112660607659,53.58621105260156,17.25341860453288,5.3217014355435515,42.09739430745443,12.888980523916077,201.69500471789314,244532.33333333334,213784.92868612916,103.33333333333333,4.163331998932265,49995.666666666664,196.89167918765213,49995.666666666664,196.89167918765213,59.732738092272314,389.36015889319407,3
mongodb,workload_stress,Stress Test (Workload A),50,1000000,1 GB,stress,26544.412584318587,2767.4009912409783,1212.08345842424,2673.0,6993.666666666667,2349.5034124365175,2967.0,16111.0,377.80293242002585,574.6627581305717,2047.3519965277776,2047.9544270833333,374.8580729166667,724.6796875,156.66958202931227,0.9043998296524829,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.278478225072224,0.9609964620667051,225.6193716488482,0.07227442232488498,207.44713659077016,115.12120169184664,2046.3645833333333,2.3987375541816047,100000.0,0.0,107.34122481301645,211668.33333333334,88096.39714161603,92.66666666666667,2.081665999466133,50192.666666666664,212.63191983644725,50192.666666666664,212.63191983644725,273.4739475708792,1406.7399664946374,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.902953545252482,0.40315271915755085,3795.6666666666665,409.0871952693378,50.0,0.0,87.854337068977,115.7229100735613,16.557283719380695,5.497074570029437,40.72819868723551,13.740500559490588,433.94735005391965,685737.6666666666,42865.54184112611,110.66666666666667,7.76745346515403,49807.333333333336,212.63191983644725,49807.333333333336,212.63191983644725,229.7912095794789,4775.825792467728,3
mongodb,workload_stress,Stress Test (Workload A),75,1000000,1 GB,stress,25606.044916600087,861.2344428312917,1986.818714775404,4363.0,15772.333333333334,3214.015251661527,5075.0,28132.333333333332,416.2574966399814,597.7654149282135,2047.433376736111,2047.9713541666667,488.7565104166667,479.7591145833333,99.38458618654185,0.6418961592098182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.798675696055096,0.28484875491879363,74.92093517802455,0.014788823817188212,232.5036739200615,128.09573206345354,2046.5520833333333,1.86425278218175,100000.0,0.0,79.1308467192718,333311.0,97843.25358449605,92.66666666666667,1.5275252316519468,49983.666666666664,23.43786110832926,49983.666666666664,23.43786110832926,42.14261501141095,848.3144071235224,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.024820804595947,0.1360010125517042,3908.3333333333335,134.0385516682918,75.0,0.0,35.48468855071637,211.99088959941807,21.68291409810384,1.762394761610035,52.92299874623617,4.390301328852275,398.11242909722677,564991.0,97458.69902681853,118.66666666666667,10.066445913694334,50016.333333333336,23.43786110832926,50016.333333333336,23.43786110832926,512.5153656233148,7456.0057224584625,3
mongodb,workload_stress,Stress Test (Workload A),100,1000000,1 GB,stress,26321.74164536328,2952.76522630596,2381.783921913297,5376.333333333333,18953.666666666668,4783.654377273745,7271.0,91327.0,376.22181676906797,583.9991120691058,2047.0162760416667,2047.9466145833333,437.4817708333333,688.5286458333334,177.96514884633834,1.3275279180221617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.79636303583781,0.4556552797538366,230.91145358119527,0.04355658511374409,203.22762111755915,149.15585493983653,2045.2708333333333,4.052779712346811,100000.0,0.0,155.87753821134442,288895.0,87414.06678561523,98.0,5.196152422706632,49989.333333333336,182.53858039694876,49989.333333333336,182.53858039694876,556.9392546169944,1785.7987941908052,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.950085242589315,0.4302258695936869,3831.6666666666665,435.80309009153814,100.0,0.0,109.89713376594075,157.43274264273617,16.938879648844402,5.651984045921268,41.273780504862465,13.596093375388646,892.6879259361727,802985.6666666666,145798.08708393032,115.66666666666667,4.163331998932265,50010.666666666664,182.53858039694876,50010.666666666664,182.53858039694876,1126.1332070408012,61831.41156402626,3
cassandra,workload_stress,Stress Test (Workload A),1,1000000,1 GB,stress,5697.913191083968,101.34411165999093,170.69088527806943,328.3333333333333,515.0,128.68290405454897,203.33333333333334,227.0,43.91850093211885,79.71156578922296,2039.6393229166667,2047.98828125,770.4869791666666,226.27864583333334,2.1209110589126285,8.382326918202365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128.11646429697672,0.42645443215616086,17.08982234206969,0.01171875,0.7453,0.021464156167899977,2007.24609375,36.608380501590325,100000.0,0.0,5.170740210354602,14945.666666666666,4126.296806257802,74.66666666666667,2.081665999466133,50048.333333333336,91.13360156020025,50048.333333333336,91.13360156020025,11.015141094572204,139.53852514628352,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.660686016082764,0.31849901770965877,17554.0,313.32570912709986,1.0,0.0,23.563878782154926,138.60435924271053,17.535690625508625,0.009444905658346422,57.49074459075928,0.09648073149718625,1.802640781216092,15991.0,17549.161119552125,62.0,0.0,49951.666666666664,91.13360156020025,49951.666666666664,91.13360156020025,0.5773502691896258,1.0,3
cassandra,workload_stress,Stress Test (Workload A),10,1000000,1 GB,stress,22791.34234879357,79.67550247632205,211.33503877531157,385.3333333333333,700.6666666666666,169.0504574562656,280.6666666666667,546.6666666666666,110.42633793299005,191.95747379287923,1963.0473090277776,1978.2278645833333,119.96744791666667,94.75390625,2.9915453507513763,1.94426520596267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.974841515223186,0.5580248341336771,2.465420537694679,6.812090473523245,0.8848178086003299,0.04691743720472002,1932.8424479166667,10.482512913689975,100000.0,0.0,1.781724556525912,8537.666666666666,224.19039527449283,84.66666666666667,3.055050463303893,49979.333333333336,53.125637251079944,49979.333333333336,53.125637251079944,16.19670748434179,27.75487945088815,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.500902414321899,0.019865746931491714,4387.666666666667,15.30795000427338,10.0,0.0,37.07923371588681,0.18602938905922903,12.159029960632324,0.17547404451077483,43.70270665486654,0.4725639139886694,1.159808551801715,7855.0,143.05243793798132,63.666666666666664,4.041451884327381,50020.666666666664,53.125637251079944,50020.666666666664,53.125637251079944,3.511884584284246,16.258331197676263,3
cassandra,workload_stress,Stress Test (Workload A),25,1000000,1 GB,stress,24192.200805900706,305.2433098785425,457.2041897807582,953.3333333333334,2433.0,371.3902077782424,706.6666666666666,1776.3333333333333,118.08105444688253,278.2909127749299,1918.5520833333333,2047.953125,363.2526041666667,459.51171875,5.720768953447862,8.884788118277514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.278966824213663,0.13594473057641113,2.629291685104441,0.03382911733532964,31.552324992996166,13.426617596164295,1659.8802083333333,26.74550051296109,100000.0,0.0,19.198317353568996,22652.333333333332,9884.013220010045,95.33333333333333,5.507570547286102,49996.666666666664,159.89475705392385,49996.666666666664,159.89475705392385,45.32475409015843,433.55737797897064,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.245803674062093,0.053297957845384845,4134.0,51.884487084291386,25.0,0.0,50.17470916121423,15.777668703326041,9.917522430419922,0.13140138158815837,39.018304189046226,0.34767573800173196,3.601677419880695,15913.666666666666,4684.868123366264,78.66666666666667,7.3711147958319945,50003.333333333336,159.89475705392385,50003.333333333336,159.89475705392385,16.441816606851365,36.11555528208494,3
cassandra,workload_stress,Stress Test (Workload A),50,1000000,1 GB,stress,25355.380477595114,124.86739811389661,782.1499464100376,1663.0,3749.0,690.3145463132038,1373.6666666666667,3238.3333333333335,130.57709616398688,302.96860972551394,2003.9409722222224,2047.9622395833333,250.26692708333334,227.0859375,1.3842549659420622,38.07889091537576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.788342237472534,0.08561131591897092,4.9199694861530405,0.026009094212810127,43.04488076560153,0.7537948267683574,1916.0104166666667,114.14952843850362,100000.0,0.0,14.060214196217776,20052.333333333332,880.1939180279159,114.33333333333333,5.686240703077327,50212.0,177.0,50212.0,177.0,20.663978319771825,133.5514881983724,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.066251913706462,0.01993627138762208,3944.0,19.467922333931785,50.0,0.0,147.77187955234893,58.776903720855714,8.855047861735025,0.1564601185589132,37.18301804860433,0.6915713712609324,3.8020134722211867,19289.666666666668,616.0173157739426,82.33333333333333,5.131601439446884,49788.0,177.0,49788.0,177.0,29.022979401386987,113.49596174901261,3
cassandra,workload_stress,Stress Test (Workload A),75,1000000,1 GB,stress,25703.169205928483,155.9772160436132,1126.9626118170565,2499.0,5103.0,1010.789443567695,2123.6666666666665,4609.666666666667,168.03882382681232,319.746404807342,1995.7825520833333,2047.8294270833333,203.12760416666666,173.09765625,20.489457940351166,37.1842103331204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.5933358669281,0.36875539347562175,11.32857599875193,0.2491848690397018,46.081668478718306,4.705691947816131,1912.2513020833333,128.89884426722418,100000.0,0.0,16.1143519662773,29268.333333333332,3366.710758787178,131.33333333333334,5.033222956847166,49953.0,186.66279757894984,49953.0,186.66279757894984,100.47885349664377,347.88503848254237,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.011400540669759,0.02245846015457603,3890.6666666666665,23.692474191889147,75.0,0.0,50.8337958809909,197.39006764817813,8.47857697804769,0.29910438992945104,36.02572854359945,1.0685593476518542,22.666056494740168,28697.666666666668,4097.510138283166,97.66666666666667,14.6401275039985,50047.0,186.66279757894984,50047.0,186.66279757894984,40.414518843273804,304.0350856946174,3
cassandra,workload_stress,Stress Test (Workload A),100,1000000,1 GB,stress,25687.362703655435,307.11215320491334,1484.8134983381287,3497.6666666666665,6560.333333333333,1362.7842544985654,3087.0,6116.333333333333,150.14422449043303,321.3341041874533,1946.236111111111,2043.4205729166667,233.06380208333334,178.29947916666666,27.457930933898517,68.09439322470112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.011838038762411,0.07401439282157257,0.3589887523237515,7.689516707546582,39.93339574645538,4.062561475919543,1811.87890625,129.14258821244817,100000.0,0.0,54.29281942743407,34729.666666666664,2872.9394935037067,131.0,2.6457513110645907,49880.666666666664,162.54332755709578,49880.666666666664,162.54332755709578,308.5082386798339,345.14537999708665,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.012008269627889,0.052846985791216106,3893.3333333333335,46.23130252689549,100.0,0.0,68.66199193553877,155.68173501535418,8.597535133361816,0.47330565109352424,36.889635721842446,1.8938936774705943,38.64830213096018,32191.0,747.2188434454795,108.0,8.18535277187245,50119.333333333336,162.54332755709578,50119.333333333336,162.54332755709578,277.75528797846493,400.52632040021206,3
